SongNumber,SongID,AlbumID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,Energy,KeySignature,KeySignatureConfidence,SongHotttnesss,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year
1,b'SONKOFE12AB0187002',511272,,b'',,b'Dickies',0.0,179.59138,0.0,2,0.277,0.6536286823546584,70.183,4,0.293,b'Gigantor',0
2,b'SOHZYBG12A5829168F',35970,,b'',,b'IMISKOUBRIA featuring Etsi De',0.0,245.26322,0.0,10,0.421,nan,100.003,4,1.0,b'Apoliome Re Giorgi (Feat. Etsi De)',0
3,b'SOLFRCH12A67021C28',14979,18.11526,b'Jamaica',-77.27348,b'Cornell Campbell',0.0,184.99873,0.0,11,0.424,nan,141.257,4,0.517,b'Got To Tell The People',1997
4,b'SOGOBIT12AB01899DE',647420,33.71197,b'Lithonia GA',-84.10599,b'Brenda Lee',0.0,173.06077,0.0,8,0.637,0.38293509007501925,124.291,1,0.0,b"If I'M Dreaming just Let Me Dream",0
5,b'SOACXUA12AB017C9A4',395388,,b'New York NY [Queens]',,b'Capone-N-Noreaga feat. Busta Rhymes and Ron Browz',0.0,256.1824,0.0,0,1.0,0.4623799459732465,201.494,4,0.819,b'Rotate',2009
6,b'SOTBDNQ12A67ADBF2A',69802,40.58751,b'Redding CA',-122.39293,b'Roy Rogers',0.0,185.0771,0.0,0,0.524,0.2530973283167317,100.451,3,0.699,b"The Hills Of Old Wyomin'",0
7,b'SOQAUIF12AC46861CF',597519,,b'Jackson MS',,b'Faith Hill',0.0,207.80363,0.0,0,0.441,0.5177890440253479,141.705,4,0.472,b'Better Days (Album Version)',1998
8,b'SOTVMJI12AB018638F',813022,40.71455,b'NY - New York City',-74.00712,b'George Schuller',0.0,409.0771,0.0,7,0.259,0.0,103.022,3,0.792,b'Distant Cousin',0
9,b'SOAQRFQ12A8AE46466',236680,,b'',,b'Opals',0.0,136.77669,0.0,5,0.754,nan,155.611,3,1.0,b'Love',0
10,b'SOKZCJC12AF72A8C79',116947,,b'POLAND',,b'Behemoth',0.0,206.44526,0.0,6,0.525,0.6204583740756491,114.929,3,1.0,b'Here And Beyond',2002
11,b'SOWOWTL12A6D4F9EB9',123609,48.39023,b'Brest France',-4.48622,b'Miossec',0.0,225.90649,0.0,2,0.613,nan,89.013,3,0.706,b'D\xc3\xa9sol\xc3\xa9 Pour La Poussi\xc3\xa8re',2004
12,b'SOPFIWM12AB0186A0D',348099,,b'Shelby North Carolina',,b'Don Gibson',0.0,151.09179,0.0,9,0.624,nan,81.832,3,0.898,b'(Prayer Is The Key To Heaven) Faith Unlocks The Door',1959
13,b'SOAEGFO12A6D4F87AA',28491,,b'Toronto Ontario Canada',,b'Dream Warriors',0.0,414.24934,0.0,6,0.005,nan,106.821,5,1.0,b'Sound Clash (featuring Beenie Man) - FattaSly Extended Mix',1996
14,b'SOLWGCZ12A6D4FA8F3',54098,,b'',,b'Mau Mau',0.0,745.40363,0.0,7,0.687,nan,107.983,4,1.0,b'Finisterre (Live)',0
15,b'SODWYJZ12AB018240F',491293,,b'Wilmette IL',,b'Fall Out Boy',0.0,214.33424,0.0,2,0.439,0.7876204040717483,160.109,4,0.47,b"America's Suitehearts",2008
16,b'SODKKPS12AB018397C',536493,35.83073,b'Dunedin FL',-85.97874,b'Lari White',0.0,239.90812,0.0,7,0.722,nan,137.002,4,0.075,b'The One Who Lives Inside Your Heart',0
17,b'SOVBBUZ12A8C137B2D',206616,,b'',,b'Dakis',0.0,224.07791,0.0,0,0.586,nan,109.08,4,0.855,b'Tsai Me Lemoni (2005 Digital Remaster)',0
18,b'SOIWQSF12AC468C3CD',599225,,b'',,b'Steven Halpern',0.0,248.63302,0.0,5,0.4,nan,134.538,3,0.356,b'Natural Light (Subliminal Self-Help)',0
19,b'SOCWFVT12AB01890F8',727695,,b'',,b'Slackbaba',0.0,465.6322,0.0,0,0.67,0.5524570090077631,88.644,5,0.607,b'Sea of Green',2006
20,b'SOTZIPQ12AB01803AA',624432,52.47859,b'Birmingham England',-1.9086,b'Frost',0.0,336.24771,0.0,0,0.954,nan,126.946,3,0.207,b'My Plastic Heart (Plastic Operator Remix)',0
21,b'SOFDYGC12A6D4F9059',354680,,b'Long Beach California',,b'The Mars Volta',0.0,266.47465,0.0,6,0.501,0.928616841888735,112.486,4,0.529,b'Inertiatic Esp',2003
22,b'SOICLQB12A8C13637C',196929,51.77045,b'Essex England',0.64255,b'Sunscreem',0.0,232.4371,0.0,11,0.625,nan,130.201,4,0.0,b'Exodus',1995
23,b'SONFOEG12A8C13B8B8',302144,,b'',,b'FU-Schnickens',0.0,237.92281,0.0,9,0.591,0.6448236576758775,101.871,4,1.0,b'True Fuschnick',1992
24,b'SOQPFGN12A8C13C1B3',301400,39.95227,b'Philadelphia PA',-75.16237,b'Kitty Kallen',0.0,161.38404,0.0,8,0.455,nan,121.56,1,0.0,b'Mother_ Mother_ Mother_ Pin A Rose On Me',0
25,b'SOFWWIA12AB01884A1',420564,,b'',,b'Maximilian Hecker',0.0,174.23628,0.0,7,0.897,0.2998774882739778,77.006,4,0.0,b'Sleepy Lad',2004
26,b'SOPWWAV12A8C13A825',205410,40.71455,b'New York NY',-74.00712,b'Agnostic Front',0.0,92.18567,0.0,6,0.282,0.6651600081265089,151.184,1,0.0,b'Sickness',1999
27,b'SOWNKOB12A6310E331',1224,,b'',,b'William Orbit',0.0,339.80036,0.0,8,0.565,0.4507622416414992,152.084,3,0.292,b'Deus Ex Machina',1993
28,b'SOCPUJD12AC468AD40',791247,,b'',,b'Berrog\xc3\xbcetto',0.0,115.17342,0.0,2,0.759,0.26695518627553855,105.101,5,0.971,b'Lusco',0
29,b'SOWCTVQ12A8C134C64',150174,,b'Los Angeles CA',,b"Jane's Addiction",0.0,229.61587,0.0,7,0.034,0.630187627199708,92.099,4,0.855,b'True Nature',2003
30,b'SOLFCRY12A8C13F38F',656735,,b'',,b'Chico Hamilton Quintet',0.0,316.73424,0.0,7,0.383,0.0,165.476,4,0.108,b'Skinned Strings',0
31,b'SOAWNUW12AC46877F8',599591,6.47279,b'Venezuela',-66.58904,b'Edmundo Ros',0.0,152.05832,0.0,7,0.599,nan,232.436,4,0.582,b'The Bull Frog',0
32,b'SOXVIYL12A8C144517',377443,46.71067,b'FR',1.71819,b'Klimperei',0.0,12.85179,0.0,0,0.297,nan,157.376,3,0.0,b'Danser seule 2',0
33,b'SOTGKDD12AC9072C18',738260,,b'',,b'Save As',0.0,337.81506,0.0,6,0.057,0.0,125.032,4,0.582,b'House Music',0
34,b'SOPRTNI12AC4688294',696951,,b'Los Angeles CA',,b'King Tee',0.0,153.57342,0.0,2,0.166,0.0,108.301,4,1.0,b'King Tee Production',0
35,b'SOKEHTJ12A8C13DFB0',112768,,b'',,b'Mark Lowry',0.0,261.82485,0.0,0,0.394,0.0,106.549,3,0.069,b'Blessed Assurance (I Love To Tell The Story Album Version)',0
36,b'SODIJTB12A8C138FB2',98008,35.67048,b'Tokyo Japan',139.74092,b'Vodka Collins',0.0,249.96526,0.0,4,0.525,nan,120.253,3,1.0,b'Foreign Prince Of Tokyo',0
37,b'SOXXNBB12A8C13C633',217058,,b'',,b'Solistiyhtye Suomi',0.0,148.71465,0.0,9,0.538,nan,192.297,4,0.0,b'Rumpu ly\xc3\xb6',0
